"Date","Price","Open","High","Low","Vol.","Change %"
"12/21/2021","484.73","477.46","484.96","477.38","","1.59%"
"12/20/2021","477.15","482.98","483.06","474.85","","-1.36%"
"12/17/2021","483.73","487.90","487.92","481.70","","-0.85%"
"12/16/2021","487.90","488.97","492.24","486.79","","-0.07%"
"12/15/2021","488.25","483.77","488.69","481.71","","0.94%"
"12/14/2021","483.69","487.32","487.34","481.88","","-0.74%"
"12/13/2021","487.30","491.48","491.95","487.30","","-0.78%"
"12/10/2021","491.12","489.40","491.34","488.20","","0.35%"
"12/09/2021","489.39","492.38","492.83","489.39","","-0.56%"
"12/08/2021","492.15","490.85","492.63","490.46","","0.38%"
"12/07/2021","490.27","480.59","490.87","480.58","","2.07%"
"12/06/2021","480.31","476.53","481.66","476.04","","0.77%"
"12/03/2021","476.63","480.26","482.54","474.12","","-0.76%"
"12/02/2021","480.26","476.43","481.28","475.50","","0.73%"
"12/01/2021","476.78","478.53","486.41","476.31","","-0.20%"
"11/30/2021","477.74","486.16","486.31","477.74","","-1.57%"
"11/29/2021","485.35","481.73","486.60","481.36","","0.58%"
"11/26/2021","482.54","493.07","493.12","481.84","","-2.23%"
"11/25/2021","493.53","493.01","493.70","492.91","","0.15%"
"11/24/2021","492.81","492.81","492.95","489.42","","-0.01%"
"11/23/2021","492.84","493.78","494.15","490.18","","-0.20%"
"11/22/2021","493.82","496.21","498.26","493.56","","-0.57%"
"11/19/2021","496.65","498.01","498.13","496.21","","-0.22%"
"11/18/2021","497.75","497.95","498.29","495.73","","0.00%"
"11/17/2021","497.73","499.05","499.10","497.63","","-0.34%"
"11/16/2021","499.45","498.23","500.17","498.05","","0.17%"
"11/15/2021","498.61","498.53","499.55","497.83","","0.09%"
"11/12/2021","498.18","495.23","498.56","495.12","","0.65%"
"11/11/2021","494.97","494.21","495.79","493.73","","0.06%"
"11/10/2021","494.67","498.21","498.35","493.32","","-0.70%"
"11/09/2021","498.16","499.42","500.06","497.30","","-0.24%"
"11/08/2021","499.35","498.38","500.10","498.06","","0.20%"
"11/05/2021","498.35","497.41","499.79","496.95","","0.16%"
"11/04/2021","497.55","496.34","497.96","496.04","","0.41%"
"11/03/2021","495.54","493.37","496.13","492.50","","0.44%"
"11/02/2021","493.37","492.69","493.77","492.33","","0.13%"
"11/01/2021","492.72","491.05","492.84","490.62","","0.43%"
"10/29/2021","490.61","491.72","491.78","488.78","","-0.22%"
"10/28/2021","491.70","488.45","491.72","487.79","","0.67%"
"10/27/2021","488.43","491.08","491.19","488.42","","-0.53%"
"10/26/2021","491.04","489.97","492.95","489.97","","0.21%"
"10/25/2021","489.99","488.66","490.44","487.85","","0.29%"
"10/24/2021","488.59","488.66","488.67","488.56","","-0.02%"
"10/22/2021","488.67","488.42","490.09","487.10","","-0.01%"
"10/21/2021","488.72","488.63","488.85","487.20","","0.04%"
"10/20/2021","488.53","486.67","488.88","486.67","","0.37%"
"10/19/2021","486.71","483.38","486.82","483.38","","0.71%"
"10/18/2021","483.29","482.72","483.42","480.31","","0.13%"
"10/17/2021","482.64","482.72","482.72","482.64","","-0.02%"
"10/15/2021","482.75","478.71","482.87","478.62","","0.88%"
"10/14/2021","478.55","472.52","478.79","472.50","","1.36%"
"10/13/2021","472.11","469.75","472.78","469.55","","0.48%"
"10/12/2021","469.87","471.17","471.29","469.31","","-0.33%"
"10/11/2021","471.42","472.38","474.99","471.11","","-0.19%"
"10/10/2021","472.34","472.38","472.38","472.31","","-0.07%"
"10/08/2021","472.65","472.76","474.17","472.17","","-0.03%"
"10/07/2021","472.81","467.79","474.78","467.76","","1.12%"
"10/06/2021","467.57","468.16","468.64","462.42","","-0.11%"
"10/05/2021","468.09","464.92","469.67","463.30","","0.66%"
"10/04/2021","465.03","469.91","470.18","463.57","","-1.03%"
"10/03/2021","469.87","469.91","469.95","469.86","","0.09%"
"10/01/2021","469.45","467.60","470.76","464.90","","0.39%"
"09/30/2021","467.61","470.34","472.34","467.61","","-0.62%"
"09/29/2021","470.52","471.55","472.59","469.73","","-0.22%"
"09/28/2021","471.56","480.29","480.35","471.16","","-1.82%"
"09/27/2021","480.31","481.38","482.14","479.58","","-0.23%"
"09/26/2021","481.40","481.38","481.42","481.36","","0.01%"
"09/24/2021","481.33","481.88","482.68","479.99","","-0.15%"
"09/23/2021","482.06","476.86","483.03","476.72","","1.01%"
"09/22/2021","477.25","473.96","478.88","473.30","","0.69%"
"09/21/2021","473.96","473.37","476.74","472.37","","0.12%"
"09/20/2021","473.37","480.91","480.93","469.77","","-1.57%"
