"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2020","2321.55","2313.93","2333.64","2313.93","","0.37%"
"07/20/2020","2312.95","2295.59","2315.91","2290.54","","0.83%"
"07/17/2020","2293.92","2286.83","2299.23","2283.22","","0.22%"
"07/16/2020","2288.81","2298.47","2298.47","2279.16","","-0.43%"
"07/15/2020","2298.78","2272.82","2306.12","2272.82","","1.24%"
"07/14/2020","2270.69","2250.97","2272.20","2232.93","","0.75%"
"07/13/2020","2253.76","2260.07","2294.70","2249.28","","-0.26%"
"07/10/2020","2259.60","2240.02","2259.60","2232.56","","0.84%"
"07/09/2020","2240.73","2253.46","2260.79","2221.54","","-0.53%"
"07/08/2020","2252.64","2241.37","2255.37","2235.52","","0.42%"
"07/07/2020","2243.17","2263.58","2265.32","2241.29","","-0.93%"
"07/06/2020","2264.29","2226.82","2265.66","2226.81","","1.70%"
"07/03/2020","2226.39","2229.25","2231.32","2224.53","","-0.06%"
"07/02/2020","2227.65","2211.70","2247.99","2211.07","","0.74%"
"07/01/2020","2211.27","2202.77","2216.99","2194.91","","0.43%"
"06/30/2020","2201.79","2178.80","2207.66","2173.62","","1.16%"
"06/29/2020","2176.44","2156.81","2176.89","2148.60","","0.89%"
"06/26/2020","2157.19","2195.11","2203.41","2157.02","","-1.65%"
"06/25/2020","2193.40","2176.85","2194.75","2160.47","","0.61%"
"06/24/2020","2180.12","2234.47","2235.58","2171.19","","-2.50%"
"06/23/2020","2236.04","2220.90","2246.32","2215.22","","0.82%"
"06/22/2020","2217.82","2207.41","2220.10","2198.59","","0.40%"
"06/19/2020","2208.97","2215.22","2237.26","2201.70","","-0.30%"
"06/18/2020","2215.64","2218.24","2220.16","2203.36","","-0.10%"
"06/17/2020","2217.90","2220.53","2231.61","2214.51","","-0.05%"
"06/16/2020","2219.10","2175.76","2238.02","2175.76","","2.19%"
"06/15/2020","2171.44","2163.37","2179.99","2116.44","","0.32%"
"06/12/2020","2164.46","2148.23","2196.02","2135.87","","0.47%"
"06/11/2020","2154.44","2266.86","2267.28","2149.94","","-4.98%"
"06/10/2020","2267.36","2273.08","2285.90","2261.83","","-0.35%"
"06/09/2020","2275.28","2289.24","2291.59","2266.21","","-0.56%"
"06/08/2020","2288.04","2268.33","2289.20","2263.83","","0.94%"
"06/05/2020","2266.76","2217.31","2274.68","2216.20","","2.18%"
"06/04/2020","2218.50","2223.77","2227.91","2207.65","","-0.18%"
"06/03/2020","2222.54","2187.95","2226.83","2187.95","","1.62%"
"06/02/2020","2187.09","2164.68","2187.09","2164.55","","1.07%"
"06/01/2020","2163.92","2147.96","2166.85","2147.63","","0.75%"
